photographer_id,best_confidence,batch_count,batches,website_found,website_found_source,email_found,email_found_source,phone_found,phone_found_source,phone_quarantine_flag,instagram_found,instagram_found_source,facebook_found,facebook_found_source,tiktok_found,tiktok_found_source,pinterest_found,pinterest_found_source,linkedin_found,linkedin_found_source,abn_found,abn_found_source,abn_supplied_unverified,years_in_business,years_in_business_source,service_areas,service_areas_source,notes_combined,grounding_assessment,merge_tier,framing_contagion_risk
PHO-EWDIR-000033,HIGH,7,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_d_inline_concatenated, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://www.kingsweddings.com.au/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),info@kingsweddings.com.au,batch_d_inline_concatenated (HIGH),0433308248,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,https://www.instagram.com/kingsweddings/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/kingsweddingsphotofilms/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,"48 642 095 216 [CHECKSUM_FAILS,DUPLICATE_VENDOR] from:google_deep_sweep_2",10+ years (1000+ weddings),claude_photographers_FINAL_v2 (HIGH),Sydney; New South Wales; Parramatta; Liverpool; North Sydney; Western Sydney,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own contact page verifies phone and service areas; Instagram bio also matches phone. || Trading name: Kings Weddings Film & Photo || Own contact page verifies phone and service areas; Instagram bio also matches phone. || Email, phone from website footer. Instagram has 11K followers. Based in Smithfield NSW. || Trading name: Kings Weddings || Trading name: Kings Weddings. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Kings Weddings Film and Photography domain not confidently identified; possible multiple similar names.",PHONE:ok|EMAIL:generic_pattern|IG:guessable_from_name|WEB:matches_name|ABN:supplied_quarantined|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000034,HIGH,5,"1778160665795_photographers_enriched_batch_01_rows_001_030, abn_sweep_batch_NO_ABNS, batch_d_inline_concatenated, claude_photographers_FINAL_v2, perplexity_photographers_batch_01",https://momentoweddings.com.au/,abn_sweep_batch_NO_ABNS (HIGH),info@momentoweddings.com.au,abn_sweep_batch_NO_ABNS (HIGH),0422 153 748,batch_d_inline_concatenated (HIGH),SUSPECT — phone 0422 153 748 attributed to 7 different vendors across batches,https://www.instagram.com/momentoweddings/,batch_d_inline_concatenated (HIGH),,,,,,,,,,,"31 602 751 093 [CHECKSUM_FAILS,DUPLICATE_VENDOR] from:chatgpt_deep_sweep_1",,,Sydney; Hunter Valley; Illawarra,abn_sweep_batch_NO_ABNS (HIGH),Not found quickly — search results mostly returned unrelated Momento/Memento photobook/film results; no clear vendor-owned wedding source verified. || Trading name: Momento Weddings. ABN provided by LLM was hallucinated (failed ATO checksum) and stripped. || Trading name: Momento Weddings || Multiple Momento businesses found; matched to momentoweddings.com serving Central Coast/Sydney/Hunter. Ambiguity with other Momento businesses. No IG verified. || Momento Weddings website not quickly verifiable relative to other similarly named studios; skipped.,PHONE:reject|EMAIL:generic_pattern|IG:guessable_from_name|WEB:matches_name|ABN:supplied_quarantined|SOURCES:3+,RED — framing contagion (sourced from known-fabricated batch),"website_found,email_found,service_areas"
PHO-EWDIR-000036,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://anchorandhope.com.au/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,https://www.instagram.com/anchorandhopephotography/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),https://www.facebook.com/anchorandhopephotography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,12+ years,claude_photographers_FINAL_v2 (HIGH),Coburg; Melbourne; Victoria; elopements; micro weddings,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website and Instagram located; careful not to confuse with unrelated US Anchor & Hope Photography. || Own website and Instagram located; careful not to confuse with unrelated US Anchor & Hope Photography. || Photographer Cam Grove, based East Brunswick/Coburg Melbourne. Specialises micro weddings and elopements. From $4,250.",SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000039,HIGH,6,"1778160665795_photographers_enriched_batch_01_rows_001_030, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://jadeaspland.mypixieset.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),hello@jadeaspland.com,google_photographers_batch_02 (HIGH),0410 709 409,google_photographers_batch_02 (HIGH),SUSPECT — phone 0410 709 409 attributed to 8 different vendors across batches,https://www.instagram.com/makeoneswayweddings/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,,,,,,Newcastle NSW; Australian based; NSW,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own Pixieset website found for Jade Aspland; Instagram uses Make Ones Way Weddings handle and identifies Jade Aspland as modern wedding photographer. || Own Pixieset website found for Jade Aspland; Instagram uses Make Ones Way Weddings handle and identifies Jade Aspland as modern wedding photographer. || Instagram verified @makeoneswayweddings. Based Newcastle NSW. EW slug is MakeOnesWayPhotography. Own website URL not confirmed. || Trading name: Jade Aspland || Trading name: Jade Aspland. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Jade Aspland / Make Ones Way Photography site not cleanly confirmed within time limit; service area already implicit in suburb text.",PHONE:reject|EMAIL:generic_pattern|IG:not_obvious|WEB:matches_name|SOURCES:3+,YELLOW — 3+ sources but phone flagged,
PHO-EWDIR-000042,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://myscandistyle.com/,claude_photographers_FINAL_v2 (HIGH),kelly@myscandistyle.com,claude_photographers_FINAL_v2 (HIGH),0433 122 992,claude_photographers_FINAL_v2 (HIGH),,https://www.instagram.com/myscandistyle.photography/,claude_photographers_FINAL_v2 (HIGH),https://www.facebook.com/myscandistyle.photography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,5+ years,claude_photographers_FINAL_v2 (HIGH),Yarra Valley; Melbourne; Mornington Peninsula; Dandenong Ranges; VIC,claude_photographers_FINAL_v2 (HIGH),"Own domain identified from multiple search snippets; phone was shown in a third-party article, so treat contact confidence as medium unless reverified on own site. || Own domain identified from multiple search snippets; phone was shown in a third-party article, so treat contact confidence as medium unless reverified on own site. || Photographer Kelly. Email and phone from Facebook page. 10K IG followers. Featured in Ivory Tribe, Theodore & Together Journal.",PHONE:ok|EMAIL:other|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000046,HIGH,6,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_d_inline_concatenated, claude_photographers_FINAL_v2, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://meganrutherford.com.au/,batch_d_inline_concatenated (HIGH),megan@meganrutherford.com.au,batch_d_inline_concatenated (HIGH),0418 438 528,batch_d_inline_concatenated (HIGH),SUSPECT — phone 0418 438 528 attributed to 7 different vendors across batches,https://www.instagram.com/meganrutherfordphotography/,batch_d_inline_concatenated (HIGH),https://www.facebook.com/meganrutherfordphotography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,Since 2021,claude_photographers_FINAL_v2 (HIGH),Bathurst; Orange; Blayney; Central West NSW,claude_photographers_FINAL_v2 (HIGH),"Not found quickly — Megan Rutherford Photography Bathurst not confidently located from direct vendor-owned sources. || Trading name: Megan Rutherford Photography || Website confirmed. Rural/regional specialist, also runs family sheep/cattle property. || Trading name: Megan Rutherford || Trading name: Megan Rutherford. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Megan Rutherford Photography domain not located quickly; Google and directory data only, so left blank.",PHONE:reject|EMAIL:name_derived|IG:guessable_from_name|WEB:matches_name|SOURCES:3+,YELLOW — 3+ sources but phone flagged,
PHO-EWDIR-000047,HIGH,3,"1778160665795_photographers_enriched_batch_01_rows_001_030, claude_photographers_FINAL_v2, perplexity_photographers_batch_01",https://www.rebekahrosewrightphotography.com/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,,,,,,,,,,,,Tocumwal; NSW; VIC,claude_photographers_FINAL_v2 (HIGH),Not found quickly — Rebekah Rose Wright Photography Tocumwal not confidently located from direct vendor-owned sources. || Website confirmed. Small rural operator near Vic border. No email/social visible in search snippets. || Rebekah Rose Wright Photography own site not clearly surfaced; possible very light digital footprint.,SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000049,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://bellajordanphotography.com/,claude_photographers_FINAL_v2 (HIGH),bellafresh48.com@gmail.com,claude_photographers_FINAL_v2 (HIGH),0467 982607,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,,,,,,Since 2016 weddings; 14 years photography,claude_photographers_FINAL_v2 (HIGH),Greater Melbourne; Mornington Peninsula; VIC,claude_photographers_FINAL_v2 (HIGH),"Found Bella Fresh48 by Bella Jordan with badge/name and Melbourne service areas, but this appears newborn/family focused; wedding-specific own site not located quickly. || Found Bella Fresh48 by Bella Jordan with badge/name and Melbourne service areas, but this appears newborn/family focused; wedding-specific own site not located quickly. || Photographer Bella Jordan. Based Frankston South. Documentary style. Also newborn/family photography. Phone from website.",PHONE:ok|EMAIL:other|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000052,HIGH,6,"1778160665795_photographers_enriched_batch_01_rows_001_030, abn_sweep_batch_NO_ABNS, batch_d_inline_concatenated, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, perplexity_photographers_batch_01",https://www.pixelightstudios.com.au/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),info@pixelightstudios.com.au,abn_sweep_batch_NO_ABNS (HIGH),0421 216 024,batch_d_inline_concatenated (HIGH),SUSPECT — phone 0421 216 024 attributed to 3 different vendors across batches,https://www.instagram.com/pixelightphotographystudios/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,,,66 612 034 507 [CHECKSUM_FAILS] from:chatgpt_deep_sweep_1,,,Hunter Valley; Newcastle; surrounds; Raymond Terrace,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),Own website found; Instagram bio confirms website and photography categories. Contact email/phone not quickly visible. || Trading name: Pixelightstudios. ABN provided by LLM was hallucinated (failed ATO checksum) and stripped. || Trading name: Pixelightstudios || Own website found; Instagram bio confirms website and photography categories. Contact email/phone not quickly visible. || No own website or social media found for Pixelightstudios Raymond Terrace. Search returned unrelated results. || Pixelightstudios domain not confidently resolved (several similar handles); relying on Google address only.,PHONE:reject|EMAIL:generic_pattern|IG:not_obvious|WEB:matches_name|ABN:supplied_quarantined|SOURCES:3+,RED — framing contagion (sourced from known-fabricated batch),email_found
PHO-EWDIR-000053,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://vladimirphotography.com.au/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,,,,,,,,,,,,,,25 years professional experience,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),Southbank; Melbourne VIC; weddings and portraits,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website located; direct about page states 25 years professional experience. Contact page did not expose email/phone in snippets. || Own website located; direct about page states 25 years professional experience. Contact page did not expose email/phone in snippets. || Photographer Vladimir Petrovic. European background. Address: 99 Whiteman St Southbank VIC 3006. Packages $1,995–$3,950.",SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000055,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://imagesforlife.com.au/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),piero@imagesforlife.com.au,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),(03) 9702 0590; 0413 604 795; 0402 522 232,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,,,,,,,,,,10+ years,claude_photographers_FINAL_v2 (HIGH),Berwick; Ferntree Gully; Melbourne VIC,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website located; enquiry section lists phone numbers and email. Site footer includes social icons but direct URLs not expanded. || Own website located; enquiry section lists phone numbers and email. Site footer includes social icons but direct URLs not expanded. || Husband and wife team Dolors (photography, Spanish origin, ex-fashion) and Piero (videography). Based Berwick VIC.",PHONE:ok|EMAIL:other|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000056,HIGH,9,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://www.birchandwattle.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),hello@birchandwattle.com,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),0468 516 216,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,https://www.instagram.com/birchandwattlephotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/birchandwattlephotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,"73 605 530 452 [CHECKSUM_FAILS,DUPLICATE_VENDOR] from:google_deep_sweep_2",17+ years (500+ weddings),claude_photographers_FINAL_v2 (HIGH),Sydney; South Coast; Central Coast; beyond,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own contact page verifies email and phone; website states Sydney, South Coast and beyond. || Source: birchandwattle.com || Own contact page verifies email and phone; website states Sydney, South Coast and beyond. || Email from Facebook page snippet. Phone from Real Weddings snippet. Pavel and Yana founders. Formerly 'Captured by Pavel'. || Sydney/South Coast/Hunter. || Trading name: Birch & Wattle || Trading name: Birch & Wattle. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Birch & Wattle Photography own domain presumed but not confirmed within timebox; did not rely on directory links.",PHONE:ok|EMAIL:generic_pattern|IG:not_obvious|WEB:distinctive|ABN:supplied_quarantined|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000063,HIGH,2,"1778160890731_photographers_enriched_batch_03_rows_061_090, claude_photographers_FINAL_v2",https://www.ashtonjean-pierre.com/,claude_photographers_FINAL_v2 (HIGH),,,,,,https://www.instagram.com/ashtonjeanpierre/,claude_photographers_FINAL_v2 (HIGH),https://www.facebook.com/ashtonjeanpierrephotography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,Since 2011 (13+ years),claude_photographers_FINAL_v2 (HIGH),Melbourne; Australia; Africa; worldwide,claude_photographers_FINAL_v2 (HIGH),"No own website/contact located quickly. Only event/third-party references found; no found contact fields copied. || Named top wedding photographer in world by Harper's Bazaar. Featured in Vogue, Over The Moon. Originally from West Yorkshire UK.",SOURCES:2,YELLOW — 2 sources only (Claude advises caution),
PHO-EWDIR-000064,HIGH,6,"1778160665795_photographers_enriched_batch_01_rows_001_030, abn_sweep_batch_NO_ABNS, batch_d_inline_concatenated, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, perplexity_photographers_batch_01",https://www.valentinearchive.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),hello@valentinearchive.com,abn_sweep_batch_NO_ABNS (HIGH),,,,https://www.instagram.com/valentine_archive_weddings/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,,,,,,Albury NSW; Albury-Wodonga; Australia-wide and beyond,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),Own website identifies Valentine Archive as Albury-Wodonga based; Instagram bio confirms wedding/elopement focus. || Trading name: Valentine Archive. ABN provided by LLM was hallucinated (failed ATO checksum) and stripped. || Trading name: Valentine Archive || Own website identifies Valentine Archive as Albury-Wodonga based; Instagram bio confirms wedding/elopement focus. || Website confirmed. Founded by Natasha Larsen. No email/social in snippets. || Valentine Archive site/socials not firmly matched to this Albury photographer; skipped to avoid mis-assignment.,EMAIL:generic_pattern|IG:not_obvious|WEB:matches_name|SOURCES:3+,RED — framing contagion (sourced from known-fabricated batch),email_found
PHO-EWDIR-000066,HIGH,4,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_d_inline_concatenated, claude_photographers_FINAL_v2, google_photographers_batch_02",https://sherimcmahonphotography.com/,batch_d_inline_concatenated (HIGH),sheri@sherimcmahonphotography.com,batch_d_inline_concatenated (HIGH),0410 491 582,batch_d_inline_concatenated (HIGH),,https://www.instagram.com/sherimcmahonphotography/,batch_d_inline_concatenated (HIGH),,,,,,,,,,,,7+ years,claude_photographers_FINAL_v2 (HIGH),NSW; Australia; New Zealand; Thailand; worldwide destinations,claude_photographers_FINAL_v2 (HIGH),Not found quickly — Sheri McMahon Photography Sydney not confidently located from direct vendor-owned sources. || Trading name: Sheri McMahon Photography || Email from website footer. Phone from Wedding Festival directory listing. EW lists as Sydney but now based Hunter Valley. || Trading name: Sheri McMahon,PHONE:ok|EMAIL:name_derived|IG:guessable_from_name|WEB:matches_name|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000067,HIGH,2,"1778160665795_photographers_enriched_batch_01_rows_001_030, claude_photographers_FINAL_v2",https://westernsydneyweddings.sydney/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,,,,,,,,,,14+ years,claude_photographers_FINAL_v2 (HIGH),Penrith; Western Sydney; Parramatta; Blue Mountains; NSW,claude_photographers_FINAL_v2 (HIGH),"Not found quickly — Western Sydney Wedding Photo and Video/Penrith not confidently located from direct vendor-owned sources. || Website confirmed. 14+ years, award winning. No email/social found in snippets.",SOURCES:2,YELLOW — 2 sources only (Claude advises caution),
PHO-EWDIR-000070,HIGH,6,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers",https://evernewstudio.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),info@evernewstudio.com,gemini_photographers_batch_01 (HIGH),+61 7 4243 4888,batch_c_chatgpt_followup (HIGH),,https://www.instagram.com/evernewstudio/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/EvernewStudio/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,Since 2013,claude_photographers_FINAL_v2 (HIGH),Australia based; weddings worldwide; Sydney,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),Own website found; Instagram bio identifies Australia-based wedding studio. Email/phone not quickly visible. || Source: evernewstudio.com || Own website found; Instagram bio identifies Australia-based wedding studio. Email/phone not quickly visible. || 71K IG followers. Founded by Andy Zheng while doing doctorate 2013. EW lists Strathfield but now Brisbane-based. || Brisbane/Strathfield office.,PHONE:ok|EMAIL:generic_pattern|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000072,HIGH,5,"1778160665795_photographers_enriched_batch_01_rows_001_030, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_sweep_2_NO_ABNS",https://www.jamesthomsonphotography.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),enquiries@jamesthomsonphotography.com,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),0466 426624,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,https://www.instagram.com/jamesthomsonphotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/JamesThomsonPhotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,"31 602 751 093 [CHECKSUM_FAILS,DUPLICATE_VENDOR] from:google_deep_sweep_2",,,Greater Sydney; Hunter Valley; South Coast; Blue Mountains; New Zealand,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own contact page verifies email, phone and service areas. || Own contact page verifies email, phone and service areas. || Email and phone from Facebook page snippet. Based Cremorne, Sydney. || Sydney/Blue Mountains. || Trading name: James Thomson. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped.",PHONE:ok|EMAIL:generic_pattern|IG:not_obvious|WEB:distinctive|ABN:supplied_quarantined|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000074,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://www.eclipsemedia.com.au/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),info@eclipsemedia.com.au,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),041 454 1216,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,https://www.instagram.com/eclipsemediamelbourne/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),https://www.facebook.com/EclipseMediaMelbourne,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,,,,,,,Keysborough; Melbourne; Yarra Valley; Mornington Peninsula; Geelong; Ballarat; Dandenong Ranges; Victoria,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website/about page located with address, email and phone. Social URLs also visible in linked supplier FAQ; keep as own social profiles. || Own website/about page located with address, email and phone. Social URLs also visible in linked supplier FAQ; keep as own social profiles. || Lead photographer Yasitha Waduge. Based Keysborough VIC. Packages from $800. Candid natural style.",PHONE:ok|EMAIL:generic_pattern|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000075,MEDIUM,2,"1778160890731_photographers_enriched_batch_03_rows_061_090, claude_photographers_FINAL_v2",,,,,,,,https://www.instagram.com/bakerboyscreative/,claude_photographers_FINAL_v2 (MEDIUM),,,,,,,,,,,,20 years,claude_photographers_FINAL_v2 (MEDIUM),VIC; NSW; QLD; ACT; TAS; Bali; Australia-wide,claude_photographers_FINAL_v2 (MEDIUM),"Could not locate own photography/videography website quickly. Directory evidence suggests they are associated with Baker Boys Band and offer photo/video, but no found fields copied. || Part of Baker Boys Group (band + photo/video). Portfolio on bakerboyscreative.pic-time.com. No standalone own website identified. Based 366 Park St South Melbourne.",SOURCES:2,YELLOW — 2 sources only (Claude advises caution),
PHO-EWDIR-000076,HIGH,2,"1778160890731_photographers_enriched_batch_03_rows_061_090, claude_photographers_FINAL_v2",https://www.colcheedasphotography.com.au/,claude_photographers_FINAL_v2 (HIGH),,,,,,https://www.instagram.com/colcheedasphotography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,,,,,Melbourne; Macedon; Victoria; Australia-wide,claude_photographers_FINAL_v2 (HIGH),No own website/social located quickly. Only directory result found; no found contact fields copied. || Photographer Alex Colcheedas. Based Tecoma (Dandenong Ranges). Fine arts degree. Candid + posed mix.,SOURCES:2,YELLOW — 2 sources only (Claude advises caution),
PHO-EWDIR-000079,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://www.wgphotography.com.au/,claude_photographers_FINAL_v2 (HIGH),info@wgphotography.com.au,1778160890731_photographers_enriched_batch_03_rows_061_090 (MEDIUM),0433 797 132,1778160890731_photographers_enriched_batch_03_rows_061_090 (MEDIUM),,https://www.instagram.com/wgphotography.au/,claude_photographers_FINAL_v2 (HIGH),https://www.facebook.com/wgphotography.au/,claude_photographers_FINAL_v2 (HIGH),,,,,,,21320648765,1778160890731_photographers_enriched_batch_03_rows_061_090 (MEDIUM),,10+ years,claude_photographers_FINAL_v2 (HIGH),Melbourne; surrounding areas,claude_photographers_FINAL_v2 (HIGH),"Own website and social profiles found. Email/phone/ABN came from non-directory event photographer listing/search result, so contact confidence is medium pending own-site recheck. || Own website and social profiles found. Email/phone/ABN came from non-directory event photographer listing/search result, so contact confidence is medium pending own-site recheck. || Lead photographer Jay. Top 3 Melbourne photographer per ABIA. 7.2K IG followers.",PHONE:ok|EMAIL:generic_pattern|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000080,HIGH,5,"1778160665795_photographers_enriched_batch_01_rows_001_030, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers",https://fvmphotography.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),felipe@fvmphotography.com,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,https://www.instagram.com/fvmphotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/officialfvmphotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.tiktok.com/@felipevillegasmunera,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,Sydney; Australia-wide,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own website verifies email and Sydney wedding/portrait photographer positioning. || Own website verifies email and Sydney wedding/portrait photographer positioning. || 112K IG, 897K TikTok. Email from website. Former corporate lawyer. From Cali, Colombia. Published in VOGUE, TATLER. || Based in Sydney.",EMAIL:other|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000081,HIGH,4,"1778160890731_photographers_enriched_batch_03_rows_061_090, batch_f_inline_30vendors, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://www.doublehappinessphoto.com/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,https://www.instagram.com/doublehappiness_studio/,batch_f_inline_30vendors (HIGH),,,,,,,,,,,,,,Melbourne; Yarra Valley; Mornington Peninsula; Dandenong Ranges and surrounds,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website located; no direct email/phone found quickly. Instagram posts found but profile URL not confidently exposed in results. || Trading name: Double Happiness Photo || Own website located; no direct email/phone found quickly. Instagram posts found but profile URL not confidently exposed in results. || Website and IG from EW Melbourne page snippet. VOGUE featured. Specialises elegant, romantic, timeless wedding moments.",IG:not_obvious|WEB:matches_name|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000082,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, batch_f_inline_30vendors, claude_photographers_FINAL_v2",https://loveamongotherthings.com/,batch_f_inline_30vendors (HIGH),hello@loveamongotherthings.com,batch_f_inline_30vendors (HIGH),0411 364 882,batch_f_inline_30vendors (HIGH),SUSPECT — phone 0411 364 882 attributed to 6 different vendors across batches,https://www.instagram.com/loveamongotherthings/,batch_f_inline_30vendors (HIGH),,,,,,,,,,,,17+ years,claude_photographers_FINAL_v2 (HIGH),Melbourne; Australia-wide,claude_photographers_FINAL_v2 (HIGH),"No own website/social located quickly. Only directory evidence found; no found contact fields copied. || Trading name: Love Among Other Things || Photographer Matthew Parkes. Crisp, light, emotive style. Based Balaclava Melbourne.",PHONE:reject|EMAIL:generic_pattern|IG:guessable_from_name|WEB:matches_name|SOURCES:3+,YELLOW — 3+ sources but phone flagged,
